Input,Task,Accuracy,CI_Low,CI_High
PolyPhen,ER Status,0.901,0.901,0.901
PolyPhen,Grade,0.6422,0.601,0.6835
PolyPhen,HER2 Status,0.773,0.74621,0.79979
SIFT,ER Status,0.901,0.901,0.901
SIFT,Grade,0.7293,0.6552,0.8039
SIFT,HER2 Status,0.74471,0.69962,0.7902
CES,ER Status,1,1,1
CES,Grade,0.881818,0.832128,0.931508
CES,HER2 Status,0.863634,0.80173,0.93456
Combo,ER Status,1,1,1
Combo,Grade,0.901,0.848,0.9218
Combo,HER2 Status,0.8714,0.7892,0.9501
Random,ER Status,0.5,0.5,0.5
Random,Grade,0.333,0.333,0.333
Random,HER2 Status,0.5,0.5,0.5
Naive,ER Status,0.76666,0.76666,0.76666
Naive,Grade,0.5666667,0.5666667,0.5666667
Naive,HER2 Status,0.716666,0.716666,0.716666
